question,date,horizon_hours,total_cost,emergency_kwh,end_soc_kwh,first_commitment_kwh,first_discharge_kwh,solve_seconds,max_residual,backend,n_scenarios
Q3,2025-02-01,12,46512.96314536618,25.61311111111104,9152.539652573541,1389.9167876344086,0.0,1.0003803000145126,0.0,event-policy,3
Q3,2025-02-01,18,46512.96314536618,25.61311111111104,9152.539652573541,1389.9167876344086,0.0,1.1128233000345062,0.0,event-policy,3
Q3,2025-02-01,24,46512.96314536618,25.61311111111104,9152.539652573541,1389.9167876344086,0.0,1.3507596000272315,0.0,event-policy,3
Q3,2025-05-01,12,66857.26342089534,7207.804821234717,5119.591312606123,1366.5643993055555,0.0,0.6662541000114288,1.1368683772161603e-13,event-policy,3
Q3,2025-05-01,18,66871.0583009193,7211.7983886327875,5124.02860971509,1366.5643993055555,0.0,0.6484079000365455,1.1368683772161603e-13,event-policy,3
Q3,2025-05-01,24,66871.0583009193,7211.7983886327875,5124.028609715091,1366.5643993055555,0.0,1.4155952999717556,1.1368683772161603e-13,event-policy,3
Q3,2025-08-01,12,31048.32224944347,382.7300914570227,6105.636498100979,575.5493698899371,0.0,0.6769410999841057,0.0,event-policy,3
Q3,2025-08-01,18,31037.762299830138,381.088763679245,6039.778204314967,575.5493698899371,0.0,0.8524187000002712,0.0,event-policy,3
Q3,2025-08-01,24,31037.762299830134,381.088763679245,6070.789620868589,575.5493698899371,0.0,1.108672399976058,0.0,event-policy,3
Q3,2025-11-01,12,40292.938825991296,5.684341886080802e-14,9821.815261696513,1414.253389254386,0.0,0.6682228000136092,0.0,event-policy,3
Q3,2025-11-01,18,40292.938825991296,5.684341886080802e-14,9821.720984911328,1414.253389254386,0.0,0.7461575000197627,0.0,event-policy,3
Q3,2025-11-01,24,40292.93406003673,5.684341886080802e-14,9675.435642500666,1414.253389254386,0.0,0.9823957999760751,0.0,event-policy,3
